instance,nodes,solved,done_reason,makespan,lowerbound
j90_1.rcp,26371,0,time_limit,102,67
j90_10.rcp,31022,0,time_limit,118,87
j90_100.rcp,25542,0,time_limit,93,75
j90_101.rcp,92,1,search_exhausted,86,86
j90_102.rcp,19668,0,time_limit,111,99
j90_103.rcp,20630,0,time_limit,84,69
j90_104.rcp,92,1,search_exhausted,64,64
j90_105.rcp,92,1,search_exhausted,81,81
j90_106.rcp,1077,1,search_exhausted,78,78
j90_107.rcp,92,1,search_exhausted,95,95
j90_108.rcp,92,1,search_exhausted,82,82
j90_109.rcp,92,1,search_exhausted,81,81
j90_11.rcp,24269,0,time_limit,105,96
j90_110.rcp,807,1,search_exhausted,81,81
j90_111.rcp,92,1,search_exhausted,71,71
j90_112.rcp,92,1,search_exhausted,71,71
j90_113.rcp,92,1,search_exhausted,93,93
j90_114.rcp,92,1,search_exhausted,73,73
j90_115.rcp,92,1,search_exhausted,83,83
j90_116.rcp,92,1,search_exhausted,81,81
j90_117.rcp,92,1,search_exhausted,77,77
j90_118.rcp,92,1,search_exhausted,83,83
j90_119.rcp,92,1,search_exhausted,77,77
j90_12.rcp,92,1,search_exhausted,114,114
j90_120.rcp,92,1,search_exhausted,86,86
j90_121.rcp,28966,0,time_limit,172,82
j90_122.rcp,30709,0,time_limit,166,77
j90_123.rcp,29211,0,time_limit,148,80
j90_124.rcp,30579,0,time_limit,140,81
j90_125.rcp,29165,0,time_limit,156,79
j90_126.rcp,29804,0,time_limit,152,76
j90_127.rcp,28845,0,time_limit,154,89
j90_128.rcp,27906,0,time_limit,140,59
j90_129.rcp,29476,0,time_limit,160,82
j90_13.rcp,92,1,search_exhausted,75,75
j90_130.rcp,30475,0,time_limit,144,70
j90_131.rcp,26441,0,time_limit,119,89
j90_132.rcp,23574,0,time_limit,95,79
j90_133.rcp,27850,0,time_limit,110,94
j90_134.rcp,23473,0,time_limit,95,88
j90_135.rcp,4775,1,search_exhausted,84,84
j90_136.rcp,24180,0,time_limit,98,76
j90_137.rcp,25377,0,time_limit,94,86
j90_138.rcp,26516,0,time_limit,99,80
j90_139.rcp,22876,0,time_limit,126,112
j90_14.rcp,16117,1,search_exhausted,70,70
j90_140.rcp,23345,0,time_limit,102,85
j90_141.rcp,22110,0,time_limit,93,76
j90_142.rcp,92,1,search_exhausted,71,71
j90_143.rcp,92,1,search_exhausted,82,82
j90_144.rcp,19156,0,time_limit,104,92
j90_145.rcp,25964,0,time_limit,95,93
j90_146.rcp,19872,0,time_limit,65,61
j90_147.rcp,92,1,search_exhausted,82,82
j90_148.rcp,24678,0,time_limit,94,82
j90_149.rcp,92,1,search_exhausted,83,83
j90_15.rcp,25246,0,time_limit,106,100
j90_150.rcp,23155,0,time_limit,90,78
j90_151.rcp,92,1,search_exhausted,85,85
j90_152.rcp,92,1,search_exhausted,71,71
j90_153.rcp,92,1,search_exhausted,73,73
j90_154.rcp,92,1,search_exhausted,69,69
j90_155.rcp,92,1,search_exhausted,71,71
j90_156.rcp,92,1,search_exhausted,74,74
j90_157.rcp,92,1,search_exhausted,65,65
j90_158.rcp,92,1,search_exhausted,71,71
j90_159.rcp,92,1,search_exhausted,66,66
j90_16.rcp,22974,0,time_limit,70,67
j90_160.rcp,92,1,search_exhausted,71,71
j90_161.rcp,29710,0,time_limit,112,78
j90_162.rcp,23838,0,time_limit,117,87
j90_163.rcp,30163,0,time_limit,103,86
j90_164.rcp,26593,0,time_limit,116,92
j90_165.rcp,27450,0,time_limit,127,109
j90_166.rcp,27396,0,time_limit,110,91
j90_167.rcp,28711,0,time_limit,100,73
j90_168.rcp,25417,0,time_limit,151,101
j90_169.rcp,26780,0,time_limit,142,80
j90_17.rcp,92,1,search_exhausted,92,92
j90_170.rcp,29852,0,time_limit,111,81
j90_171.rcp,92,1,search_exhausted,101,101
j90_172.rcp,26254,0,time_limit,101,94
j90_173.rcp,26596,0,time_limit,94,83
j90_174.rcp,92,1,search_exhausted,98,98
j90_175.rcp,26615,0,time_limit,97,90
j90_176.rcp,26024,0,time_limit,92,83
j90_177.rcp,1831,1,search_exhausted,73,73
j90_178.rcp,92,1,search_exhausted,92,92
j90_179.rcp,28996,0,time_limit,86,79
j90_18.rcp,92,1,search_exhausted,82,82
j90_180.rcp,92,1,search_exhausted,94,94
