instance,nodes,solved,done_reason,makespan,lowerbound
J6022_1.RCP,37716,0,time_limit,67,62
J6022_10.RCP,40903,0,time_limit,79,69
J6022_2.RCP,37431,0,time_limit,92,83
J6022_3.RCP,37407,0,time_limit,75,70
J6022_4.RCP,33703,0,time_limit,85,64
J6022_5.RCP,36788,0,time_limit,78,76
J6022_6.RCP,36218,0,time_limit,85,79
J6022_7.RCP,31076,0,time_limit,81,69
J6022_8.RCP,38361,0,time_limit,61,59
J6022_9.RCP,37658,0,time_limit,77,65
J6023_1.RCP,79,1,search_exhausted,75,75
J6023_10.RCP,6602,1,search_exhausted,68,68
J6023_2.RCP,62,1,search_exhausted,69,69
J6023_3.RCP,35901,0,time_limit,78,75
J6023_4.RCP,323,1,search_exhausted,83,83
J6023_5.RCP,32873,0,time_limit,86,72
J6023_6.RCP,62,1,search_exhausted,81,81
J6023_7.RCP,30645,1,search_exhausted,60,60
J6023_8.RCP,62,1,search_exhausted,72,72
J6023_9.RCP,62,1,search_exhausted,64,64
J6024_1.RCP,62,1,search_exhausted,65,65
J6024_10.RCP,62,1,search_exhausted,66,66
J6024_2.RCP,62,1,search_exhausted,55,55
J6024_3.RCP,62,1,search_exhausted,67,67
J6024_4.RCP,62,1,search_exhausted,78,78
J6024_5.RCP,62,1,search_exhausted,76,76
J6024_6.RCP,62,1,search_exhausted,75,75
J6024_7.RCP,62,1,search_exhausted,68,68
J6024_8.RCP,62,1,search_exhausted,81,81
J6024_9.RCP,62,1,search_exhausted,80,80
J6025_1.RCP,48216,0,time_limit,146,71
J6025_10.RCP,39998,0,time_limit,132,77
J6025_2.RCP,43652,0,time_limit,144,69
J6025_3.RCP,37132,0,time_limit,130,90
J6025_4.RCP,44621,0,time_limit,134,78
J6025_5.RCP,45458,0,time_limit,116,61
J6025_6.RCP,47740,0,time_limit,142,75
J6025_7.RCP,50066,0,time_limit,105,66
J6025_8.RCP,50797,0,time_limit,137,57
J6025_9.RCP,39536,0,time_limit,125,69
J6026_1.RCP,43598,0,time_limit,92,80
J6026_10.RCP,41209,0,time_limit,95,85
J6026_2.RCP,39177,0,time_limit,83,63
J6026_3.RCP,38723,0,time_limit,89,71
J6026_4.RCP,40988,0,time_limit,75,65
J6026_5.RCP,37793,0,time_limit,65,61
J6026_6.RCP,39685,0,time_limit,98,73
J6026_7.RCP,984,1,search_exhausted,72,72
J6026_8.RCP,51626,0,time_limit,93,89
J6026_9.RCP,37378,0,time_limit,74,62
J6027_1.RCP,62,1,search_exhausted,96,96
J6027_10.RCP,10239,1,search_exhausted,57,57
J6027_2.RCP,33210,0,time_limit,77,74
J6027_3.RCP,26989,1,search_exhausted,76,76
J6027_4.RCP,37494,0,time_limit,65,60
J6027_5.RCP,62,1,search_exhausted,78,78
J6027_6.RCP,715,1,search_exhausted,64,64
J6027_7.RCP,10917,1,search_exhausted,83,83
