instance,nodes,solved,done_reason,makespan,lowerbound
X10_1.RCP,22630,0,time_limit,128,111
X10_10.RCP,17994,0,time_limit,84,66
X10_2.RCP,20223,0,time_limit,109,91
X10_3.RCP,20193,0,time_limit,124,99
X10_4.RCP,18151,0,time_limit,115,95
X10_5.RCP,18664,0,time_limit,110,97
X10_6.RCP,19580,0,time_limit,104,92
X10_7.RCP,15857,0,time_limit,115,79
X10_8.RCP,20156,0,time_limit,135,114
X10_9.RCP,17765,0,time_limit,88,77
X11_1.RCP,24293,0,time_limit,232,90
X11_10.RCP,23953,0,time_limit,256,90
X11_2.RCP,26869,0,time_limit,221,78
X11_3.RCP,26619,0,time_limit,277,93
X11_4.RCP,28773,0,time_limit,296,96
X11_5.RCP,25860,0,time_limit,296,97
X11_6.RCP,24227,0,time_limit,299,91
X11_7.RCP,26708,0,time_limit,233,82
X11_8.RCP,23588,0,time_limit,219,95
X11_9.RCP,25556,0,time_limit,233,76
X12_1.RCP,24322,0,time_limit,172,94
X12_10.RCP,22253,0,time_limit,174,84
X12_2.RCP,22301,0,time_limit,156,72
X12_3.RCP,22318,0,time_limit,176,84
X12_4.RCP,20449,0,time_limit,171,94
X12_5.RCP,22642,0,time_limit,227,98
X12_6.RCP,21445,0,time_limit,166,82
X12_7.RCP,20437,0,time_limit,173,83
X12_8.RCP,22838,0,time_limit,164,72
X12_9.RCP,22647,0,time_limit,141,77
X13_1.RCP,18117,0,time_limit,173,121
X13_10.RCP,21254,0,time_limit,122,78
X13_2.RCP,18788,0,time_limit,111,72
X13_3.RCP,20078,0,time_limit,157,106
X13_4.RCP,20795,0,time_limit,142,88
X13_5.RCP,19298,0,time_limit,126,79
X13_6.RCP,24048,0,time_limit,132,86
X13_7.RCP,21304,0,time_limit,138,105
X13_8.RCP,22305,0,time_limit,132,87
X13_9.RCP,24676,0,time_limit,120,77
X14_1.RCP,20589,0,time_limit,114,81
X14_10.RCP,19027,0,time_limit,103,80
X14_2.RCP,20527,0,time_limit,124,86
X14_3.RCP,17126,0,time_limit,115,88
X14_4.RCP,24059,0,time_limit,127,85
X14_5.RCP,22083,0,time_limit,122,90
X14_6.RCP,17631,0,time_limit,115,91
X14_7.RCP,21024,0,time_limit,122,89
X14_8.RCP,19798,0,time_limit,141,101
X14_9.RCP,18563,0,time_limit,116,101
X15_1.RCP,19567,0,time_limit,99,81
X15_10.RCP,19564,0,time_limit,119,91
X15_2.RCP,16154,0,time_limit,92,75
X15_3.RCP,20302,0,time_limit,106,87
X15_4.RCP,18906,0,time_limit,118,82
X15_5.RCP,15457,0,time_limit,115,87
X15_6.RCP,16698,0,time_limit,109,97
X15_7.RCP,16545,0,time_limit,104,75
X15_8.RCP,122,1,search_exhausted,126,126
