
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J3021_6.RCP         77          53       76       1.3%          60.204
J3021_7.RCP         75          53       65      15.4%          60.206
J3021_8.RCP         72          48       62      16.1%          60.140
J3021_9.RCP         76          43       69      10.1%          60.333
J3022_1.RCP         42          42       42       0.0%          17.510
J3022_10.RCP        55          52       55       0.0%          60.082
J3022_2.RCP         45          45       45       0.0%           6.371
J3022_3.RCP         63          63       63       0.0%          22.176
J3022_4.RCP         42          42       42       0.0%          36.480
J3022_5.RCP         52          46       52       0.0%          60.410
J3022_6.RCP         52          45       52       0.0%          60.327
J3022_7.RCP         60          55       60       0.0%          60.412
J3022_8.RCP         55          50       55       0.0%          60.158
J3022_9.RCP         76          76       76       0.0%           0.294
J3023_1.RCP         63          63       63       0.0%           0.033
J3023_10.RCP        61          61       61       0.0%           0.046
J3023_2.RCP         53          53       53       0.0%           0.036
J3023_3.RCP         46          46       46       0.0%           0.040
J3023_4.RCP         65          65       65       0.0%           6.902
J3023_5.RCP         52          52       52       0.0%          10.382
J3023_6.RCP         48          48       48       0.0%          10.105
J3023_7.RCP         60          60       60       0.0%           5.908
J3023_8.RCP         48          48       48       0.0%           0.046
J3023_9.RCP         63          63       63       0.0%           8.970
J3024_1.RCP         53          53       53       0.0%           0.044
J3024_10.RCP        53          53       53       0.0%           0.032
J3024_2.RCP         58          58       58       0.0%           0.034
J3024_3.RCP         69          69       69       0.0%           0.034
J3024_4.RCP         53          53       53       0.0%           0.034
J3024_5.RCP         51          51       51       0.0%           0.032
J3024_6.RCP         56          56       56       0.0%           0.035
J3024_7.RCP         44          44       44       0.0%           0.031
J3024_8.RCP         38          38       38       0.0%           0.034
J3024_9.RCP         43          43       43       0.0%           0.031
J3025_1.RCP         98          63       93       5.4%          60.098
J3025_10.RCP        64          47       58      10.3%          60.219
J3025_2.RCP         85          43       75      13.3%          60.372
J3025_3.RCP         88          44       76      15.8%          60.246
J3025_4.RCP         90          48       81      11.1%          60.145
J3025_5.RCP         79          45       72       9.7%          60.311
J3025_6.RCP         63          41       58       8.6%          60.217
J3025_7.RCP        102          59       95       7.4%          60.211
J3025_8.RCP         81          38       69      17.4%          60.138
J3025_9.RCP         95          50       84      13.1%          60.152
J3026_1.RCP         59          59       59       0.0%          29.615
J3026_10.RCP        50          47       49       2.0%          60.213
J3026_2.RCP         40          40       40       0.0%           0.138
J3026_3.RCP         58          58       58       0.0%           0.041
J3026_4.RCP         62          62       62       0.0%          17.254
J3026_5.RCP         74          64       74       0.0%          60.070
J3026_6.RCP         53          53       53       0.0%          46.366
J3026_7.RCP         56          56       56       0.0%           3.898
J3026_8.RCP         66          63       66       0.0%          60.111
J3026_9.RCP         44          41       43       2.3%          60.382
J3027_1.RCP         43          43       43       0.0%           1.752
J3027_10.RCP        62          62       62       0.0%           0.039
J3027_2.RCP         58          58       58       0.0%           0.038
J3027_3.RCP         60          60       60       0.0%           0.036
J3027_4.RCP         64          64       64       0.0%           0.035
J3027_5.RCP         49          49       49       0.0%           0.042
J3027_6.RCP         59          59       59       0.0%           0.035
J3027_7.RCP         49          49       49       0.0%          18.881
J3027_8.RCP         66          66       66       0.0%           0.055
J3027_9.RCP         55          55       55       0.0%           0.034
J3028_1.RCP         69          69       69       0.0%           0.035
J3028_10.RCP        59          59       59       0.0%           0.034
J3028_2.RCP         57          57       57       0.0%           0.036
J3028_3.RCP         40          40       40       0.0%           0.035
J3028_4.RCP         49          49       49       0.0%           0.035
J3028_5.RCP         73          73       73       0.0%           0.032
J3028_6.RCP         55          55       55       0.0%           0.038
J3028_7.RCP         48          48       48       0.0%           0.044
J3028_8.RCP         53          53       53       0.0%           0.038
J3028_9.RCP         62          62       62       0.0%           0.036
J3029_1.RCP         90          62       85       5.9%          60.076
J3029_10.RCP        82          51       76       7.9%          60.222
J3029_2.RCP        102          55       90      13.3%          60.268
J3029_3.RCP         81          45       78       3.8%          60.193
J3029_4.RCP        108          54      103       4.9%          60.132
J3029_5.RCP        108          53       98      10.2%          60.390
J3029_6.RCP         99          43       92       7.6%          60.345
J3029_7.RCP         76          41       73       4.1%          60.153
J3029_8.RCP         86          50       80       7.5%          60.493
J3029_9.RCP        107          52       97      10.3%          60.385
J302_1.RCP          38          34       38       0.0%          60.259
J302_10.RCP         43          41       43       0.0%          60.127
J302_2.RCP          51          46       51       0.0%          60.105
J302_3.RCP          43          43       43       0.0%           2.310
J302_4.RCP          43          43       43       0.0%          31.917
J302_5.RCP          51          51       51       0.0%           0.058
J302_6.RCP          47          47       47       0.0%           0.031
J302_7.RCP          47          47       47       0.0%           0.032
J302_8.RCP          54          50       54       0.0%          60.048
J302_9.RCP          54          54       54       0.0%          28.681
J3030_1.RCP         51          40       47       8.5%          60.117
J3030_10.RCP        54          43       53       1.9%          60.197
J3030_2.RCP         70          65       68       2.9%          60.200
J3030_3.RCP         58          53       55       5.5%          60.698
J3030_4.RCP         53          50       53       0.0%          60.386
J3030_5.RCP         57          52       54       5.6%          60.199
J3030_6.RCP         65          54       62       4.8%          60.163
J3030_7.RCP         69          63       68       1.5%          60.282
J3030_8.RCP         46          40       46       0.0%          60.164
J3030_9.RCP         46          44       46       0.0%          60.170
J3031_1.RCP         43          43       43       0.0%           0.127
J3031_10.RCP        55          49       55       0.0%          60.067
J3031_2.RCP         63          63       63       0.0%           0.099
