
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J3021_6.RCP         87          53       76      14.5%           1.003
J3021_7.RCP         76          53       65      16.9%           1.002
J3021_8.RCP         69          48       62      11.3%           1.002
J3021_9.RCP         90          43       69      30.4%           1.003
J3022_1.RCP         49          40       42      16.7%           1.002
J3022_10.RCP        59          52       55       7.3%           1.002
J3022_2.RCP         45          42       45       0.0%           1.002
J3022_3.RCP         63          61       63       0.0%           1.002
J3022_4.RCP         42          40       42       0.0%           1.002
J3022_5.RCP         58          46       52      11.5%           1.002
J3022_6.RCP         61          45       52      17.3%           1.002
J3022_7.RCP         63          55       60       5.0%           1.002
J3022_8.RCP         60          50       55       9.1%           1.002
J3022_9.RCP         76          76       76       0.0%           0.203
J3023_1.RCP         63          63       63       0.0%           0.040
J3023_10.RCP        61          61       61       0.0%           0.038
J3023_2.RCP         53          53       53       0.0%           0.052
J3023_3.RCP         46          46       46       0.0%           0.135
J3023_4.RCP         65          63       65       0.0%           1.002
J3023_5.RCP         53          48       52       1.9%           1.004
J3023_6.RCP         57          47       48      18.8%           1.002
J3023_7.RCP         64          58       60       6.7%           1.002
J3023_8.RCP         48          48       48       0.0%           0.043
J3023_9.RCP         64          58       63       1.6%           1.002
J3024_1.RCP         53          53       53       0.0%           0.029
J3024_10.RCP        53          53       53       0.0%           0.029
J3024_2.RCP         58          58       58       0.0%           0.027
J3024_3.RCP         69          69       69       0.0%           0.033
J3024_4.RCP         53          53       53       0.0%           0.037
J3024_5.RCP         51          51       51       0.0%           0.030
J3024_6.RCP         56          56       56       0.0%           0.069
J3024_7.RCP         44          44       44       0.0%           0.030
J3024_8.RCP         38          38       38       0.0%           0.031
J3024_9.RCP         43          43       43       0.0%           0.031
J3025_1.RCP        108          63       93      16.1%           1.001
J3025_10.RCP        74          47       58      27.6%           1.001
J3025_2.RCP         91          43       75      21.3%           1.003
J3025_3.RCP        105          44       76      38.2%           1.004
J3025_4.RCP         98          48       81      21.0%           1.001
J3025_5.RCP         95          45       72      31.9%           1.002
J3025_6.RCP         73          41       58      25.9%           1.002
J3025_7.RCP        107          59       95      12.6%           1.003
J3025_8.RCP         86          38       69      24.6%           1.005
J3025_9.RCP         91          50       84       8.3%           1.001
J3026_1.RCP         73          59       59      23.7%           1.002
J3026_10.RCP        56          47       49      14.3%           1.002
J3026_2.RCP         40          40       40       0.0%           0.040
J3026_3.RCP         58          58       58       0.0%           0.468
J3026_4.RCP         62          62       62       0.0%           0.071
J3026_5.RCP         74          64       74       0.0%           1.001
J3026_6.RCP         56          49       53       5.7%           1.002
J3026_7.RCP         64          56       56      14.3%           1.003
J3026_8.RCP         66          63       66       0.0%           1.004
J3026_9.RCP         48          41       43      11.6%           1.002
J3027_1.RCP         46          43       43       7.0%           1.003
J3027_10.RCP        62          62       62       0.0%           0.040
J3027_2.RCP         58          58       58       0.0%           0.047
J3027_3.RCP         60          60       60       0.0%           0.073
J3027_4.RCP         64          64       64       0.0%           0.444
J3027_5.RCP         58          49       49      18.4%           1.001
J3027_6.RCP         59          59       59       0.0%           0.281
J3027_7.RCP         53          46       49       8.2%           1.002
J3027_8.RCP         66          66       66       0.0%           0.162
J3027_9.RCP         55          55       55       0.0%           0.124
J3028_1.RCP         69          69       69       0.0%           0.034
J3028_10.RCP        59          59       59       0.0%           0.030
J3028_2.RCP         57          57       57       0.0%           0.037
J3028_3.RCP         40          40       40       0.0%           0.034
J3028_4.RCP         49          49       49       0.0%           0.035
J3028_5.RCP         73          73       73       0.0%           0.030
J3028_6.RCP         55          55       55       0.0%           0.035
J3028_7.RCP         48          48       48       0.0%           0.031
J3028_8.RCP         53          53       53       0.0%           0.032
J3028_9.RCP         62          62       62       0.0%           0.034
J3029_1.RCP        106          62       85      24.7%           1.003
J3029_10.RCP        87          51       76      14.5%           1.002
J3029_2.RCP        108          55       90      20.0%           1.002
J3029_3.RCP         90          45       78      15.4%           1.001
J3029_4.RCP        117          54      103      13.6%           1.003
J3029_5.RCP        124          53       98      26.5%           1.003
J3029_6.RCP        105          43       92      14.1%           1.003
J3029_7.RCP         80          41       73       9.6%           1.002
J3029_8.RCP        100          50       80      25.0%           1.002
J3029_9.RCP        125          52       97      28.9%           1.002
J302_1.RCP          38          34       38       0.0%           1.002
J302_10.RCP         52          41       43      20.9%           1.002
J302_2.RCP          51          46       51       0.0%           1.002
J302_3.RCP          43          43       43       0.0%           0.334
J302_4.RCP          43          42       43       0.0%           1.001
J302_5.RCP          54          51       51       5.9%           1.001
J302_6.RCP          47          47       47       0.0%           0.052
J302_7.RCP          47          47       47       0.0%           0.114
J302_8.RCP          60          50       54      11.1%           1.002
J302_9.RCP          54          51       54       0.0%           1.001
J3030_1.RCP         55          40       47      17.0%           1.002
J3030_10.RCP        58          43       53       9.4%           1.002
J3030_2.RCP         77          65       68      13.2%           1.002
J3030_3.RCP         61          53       55      10.9%           1.003
J3030_4.RCP         56          50       53       5.7%           1.003
J3030_5.RCP         58          52       54       7.4%           1.002
J3030_6.RCP         68          54       62       9.7%           1.002
J3030_7.RCP         72          63       68       5.9%           1.002
J3030_8.RCP         49          40       46       6.5%           1.002
J3030_9.RCP         49          44       46       6.5%           1.002
J3031_1.RCP         43          43       43       0.0%           0.044
J3031_10.RCP        60          49       55       9.1%           1.001
J3031_2.RCP         63          63       63       0.0%           0.040
J3031_3.RCP         58          58       58       0.0%           0.244
J3031_4.RCP         50          50       50       0.0%           0.036
J3031_5.RCP         57          48       52       9.6%           1.003
J3031_6.RCP         53          53       53       0.0%           0.388
J3031_7.RCP         61          61       61       0.0%           0.382
J3031_8.RCP         58          58       58       0.0%           0.251
J3031_9.RCP         55          46       50      10.0%           1.001
J3032_1.RCP         61          61       61       0.0%           0.033
J3032_10.RCP        51          51       51       0.0%           0.039
J3032_2.RCP         60          60       60       0.0%           0.033
J3032_3.RCP         57          57       57       0.0%           0.035
J3032_4.RCP         68          68       68       0.0%           0.035
J3032_5.RCP         54          54       54       0.0%           0.030
J3032_6.RCP         44          44       44       0.0%           0.027
J3032_7.RCP         35          35       35       0.0%           0.025
J3032_8.RCP         54          54       54       0.0%           0.034
J3032_9.RCP         65          65       65       0.0%           0.031
J3033_1.RCP         75          62       65      15.4%           1.001
J3033_10.RCP        53          53       53       0.0%           0.084
J3033_2.RCP         68          53       60      13.3%           1.003
J3033_3.RCP         55          42       55       0.0%           1.003
J3033_4.RCP         77          76       77       0.0%           1.002
J3033_5.RCP         55          43       53       3.8%           1.002
J3033_6.RCP         59          59       59       0.0%           0.833
J3033_7.RCP         58          58       58       0.0%           0.089
J3033_8.RCP         70          47       61      14.8%           1.002
J3033_9.RCP         71          55       65       9.2%           1.001
J3034_1.RCP         68          63       68       0.0%           1.001
J3034_10.RCP        47          47       47       0.0%           0.309
J3034_2.RCP         44          44       44       0.0%           0.317
J3034_3.RCP         69          69       69       0.0%           0.581
J3034_4.RCP         67          67       67       0.0%           0.059
J3034_5.RCP         63          59       63       0.0%           1.001
J3034_6.RCP         52          51       52       0.0%           1.002
J3034_7.RCP         64          54       58      10.3%           1.002
J3034_8.RCP         58          50       58       0.0%           1.002
J3034_9.RCP         60          60       60       0.0%           0.035
J3035_1.RCP         57          57       57       0.0%           0.080
J3035_10.RCP        59          55       59       0.0%           1.001
J3035_2.RCP         53          53       53       0.0%           0.037
J3035_3.RCP         60          60       60       0.0%           0.063
J3035_4.RCP         53          48       50       6.0%           1.001
J3035_5.RCP         60          60       60       0.0%           0.168
J3035_6.RCP         58          58       58       0.0%           0.267
J3035_7.RCP         61          61       61       0.0%           0.109
J3035_8.RCP         63          63       63       0.0%           0.033
J3035_9.RCP         59          59       59       0.0%           0.892
J3036_1.RCP         66          66       66       0.0%           0.032
