
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
J3020_4.RCP         43          43       43       0.0%         32           0.143
J3020_5.RCP         61          61       61       0.0%         32           0.133
J3020_6.RCP         51          51       51       0.0%         32           0.135
J3020_7.RCP         42          42       42       0.0%         32           0.138
J3020_8.RCP         51          51       51       0.0%         32           0.136
J3020_9.RCP         41          41       41       0.0%         32           0.141
J3021_1.RCP         89          60       84       6.0%      14599          60.032
J3021_10.RCP        73          54       69       5.8%      14204          60.084
J3021_2.RCP         65          42       59      10.2%      13884          60.103
J3021_3.RCP         78          60       76       2.6%      13179          60.093
J3021_4.RCP         74          52       70       5.7%      14154          60.082
J3021_5.RCP         60          43       55       9.1%      13035          60.067
J3021_6.RCP         79          53       76       3.9%      14849          60.114
J3021_7.RCP         75          53       65      15.4%      14619          60.091
J3021_8.RCP         69          48       62      11.3%      12662          60.072
J3021_9.RCP         74          43       69       7.2%      13643          60.091
J3022_1.RCP         42          42       42       0.0%      10790          49.610
J3022_10.RCP        57          52       55       3.6%      12751          60.072
J3022_2.RCP         45          45       45       0.0%       6657          31.276
J3022_3.RCP         63          61       63       0.0%      12834          60.057
J3022_4.RCP         42          40       42       0.0%      13889          60.079
J3022_5.RCP         52          46       52       0.0%      13330          60.093
J3022_6.RCP         52          45       52       0.0%      14010          60.085
J3022_7.RCP         60          55       60       0.0%      13962          60.073
J3022_8.RCP         55          50       55       0.0%      14133          60.077
J3022_9.RCP         76          76       76       0.0%        259           1.081
J3023_1.RCP         63          63       63       0.0%         32           0.138
J3023_10.RCP        61          61       61       0.0%         32           0.131
J3023_2.RCP         53          53       53       0.0%         32           0.141
J3023_3.RCP         46          46       46       0.0%       3062          13.360
J3023_4.RCP         65          65       65       0.0%       6908          30.839
J3023_5.RCP         52          52       52       0.0%      10100          48.242
J3023_6.RCP         48          48       48       0.0%      10039          42.826
J3023_7.RCP         60          60       60       0.0%       5832          24.927
J3023_8.RCP         48          48       48       0.0%        150           0.710
J3023_9.RCP         63          63       63       0.0%       9379          38.598
