
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J3021_6.RCP         78          53       76       2.6%          60.263
J3021_7.RCP         69          53       65       6.2%          60.272
J3021_8.RCP         70          48       62      12.9%          60.182
J3021_9.RCP         74          43       69       7.2%          60.141
J3022_1.RCP         42          42       42       0.0%          11.063
J3022_10.RCP        57          52       55       3.6%          60.063
J3022_2.RCP         45          45       45       0.0%           6.076
J3022_3.RCP         63          63       63       0.0%          20.342
J3022_4.RCP         42          42       42       0.0%          37.003
J3022_5.RCP         52          46       52       0.0%          60.110
J3022_6.RCP         56          45       52       7.7%          60.285
J3022_7.RCP         60          55       60       0.0%          60.159
J3022_8.RCP         55          50       55       0.0%          60.159
J3022_9.RCP         76          76       76       0.0%           0.285
J3023_1.RCP         63          63       63       0.0%           0.029
J3023_10.RCP        61          61       61       0.0%           0.040
J3023_2.RCP         53          53       53       0.0%           0.046
J3023_3.RCP         46          46       46       0.0%           0.927
J3023_4.RCP         65          65       65       0.0%           6.808
J3023_5.RCP         52          52       52       0.0%          10.022
J3023_6.RCP         48          48       48       0.0%          35.903
J3023_7.RCP         60          60       60       0.0%           5.771
J3023_8.RCP         48          48       48       0.0%           1.008
J3023_9.RCP         63          63       63       0.0%           9.944
J3024_1.RCP         53          53       53       0.0%           0.039
J3024_10.RCP        53          53       53       0.0%           0.029
J3024_2.RCP         58          58       58       0.0%           0.029
J3024_3.RCP         69          69       69       0.0%           0.029
J3024_4.RCP         53          53       53       0.0%           0.028
J3024_5.RCP         51          51       51       0.0%           0.029
J3024_6.RCP         56          56       56       0.0%           0.030
J3024_7.RCP         44          44       44       0.0%           0.030
J3024_8.RCP         38          38       38       0.0%           0.034
J3024_9.RCP         43          43       43       0.0%           0.031
J3025_1.RCP         99          63       93       6.5%          60.081
J3025_10.RCP        66          47       58      13.8%          60.257
J3025_2.RCP         80          43       75       6.7%          60.151
J3025_3.RCP         92          44       76      21.1%          60.137
J3025_4.RCP         85          48       81       4.9%          60.266
J3025_5.RCP         80          45       72      11.1%          60.207
J3025_6.RCP         62          41       58       6.9%          60.294
J3025_7.RCP        100          59       95       5.3%          60.168
J3025_8.RCP         73          38       69       5.8%          60.136
J3025_9.RCP        101          50       84      20.2%          60.162
J3026_1.RCP         59          59       59       0.0%          14.005
J3026_10.RCP        49          47       49       0.0%          60.104
J3026_2.RCP         40          40       40       0.0%           4.403
J3026_3.RCP         58          58       58       0.0%           0.691
J3026_4.RCP         62          62       62       0.0%           2.100
J3026_5.RCP         74          64       74       0.0%          60.050
J3026_6.RCP         53          53       53       0.0%          36.143
J3026_7.RCP         56          56       56       0.0%          11.454
J3026_8.RCP         66          66       66       0.0%          59.047
J3026_9.RCP         44          41       43       2.3%          60.200
J3027_1.RCP         43          43       43       0.0%           1.235
J3027_10.RCP        62          62       62       0.0%           0.031
J3027_2.RCP         58          58       58       0.0%           0.313
J3027_3.RCP         60          60       60       0.0%           0.030
J3027_4.RCP         64          64       64       0.0%           0.656
J3027_5.RCP         49          49       49       0.0%           2.064
J3027_6.RCP         59          59       59       0.0%           0.122
J3027_7.RCP         49          49       49       0.0%          18.172
J3027_8.RCP         66          66       66       0.0%           0.073
J3027_9.RCP         55          55       55       0.0%           0.110
J3028_1.RCP         69          69       69       0.0%           0.029
J3028_10.RCP        59          59       59       0.0%           0.027
J3028_2.RCP         57          57       57       0.0%           0.029
J3028_3.RCP         40          40       40       0.0%           0.032
J3028_4.RCP         49          49       49       0.0%           0.046
J3028_5.RCP         73          73       73       0.0%           0.031
J3028_6.RCP         55          55       55       0.0%           0.029
J3028_7.RCP         48          48       48       0.0%           0.030
J3028_8.RCP         53          53       53       0.0%           0.028
J3028_9.RCP         62          62       62       0.0%           0.029
J3029_1.RCP         90          62       85       5.9%          60.092
J3029_10.RCP        78          51       76       2.6%          60.148
J3029_2.RCP        102          55       90      13.3%          60.140
J3029_3.RCP         81          45       78       3.8%          60.136
J3029_4.RCP        107          54      103       3.9%          60.154
J3029_5.RCP        110          53       98      12.2%          60.163
J3029_6.RCP         95          43       92       3.3%          60.176
J3029_7.RCP         76          41       73       4.1%          60.152
J3029_8.RCP         86          50       80       7.5%          60.186
J3029_9.RCP        111          52       97      14.4%          60.201
J302_1.RCP          38          34       38       0.0%          60.117
J302_10.RCP         43          41       43       0.0%          60.150
J302_2.RCP          51          46       51       0.0%          60.121
J302_3.RCP          43          43       43       0.0%          14.975
J302_4.RCP          43          43       43       0.0%          32.672
J302_5.RCP          51          51       51       0.0%           0.191
J302_6.RCP          47          47       47       0.0%          12.842
J302_7.RCP          47          47       47       0.0%           2.359
J302_8.RCP          54          50       54       0.0%          60.045
J302_9.RCP          54          54       54       0.0%          28.817
J3030_1.RCP         50          40       47       6.4%          60.108
J3030_10.RCP        54          43       53       1.9%          60.271
J3030_2.RCP         72          65       68       5.9%          60.160
J3030_3.RCP         55          53       55       0.0%          60.217
J3030_4.RCP         53          50       53       0.0%          60.161
J3030_5.RCP         54          52       54       0.0%          60.229
J3030_6.RCP         67          54       62       8.1%          60.166
J3030_7.RCP         68          63       68       0.0%          60.195
J3030_8.RCP         46          40       46       0.0%          60.170
J3030_9.RCP         47          44       46       2.2%          60.279
J3031_1.RCP         43          43       43       0.0%           0.333
J3031_10.RCP        56          49       55       1.8%          60.064
J3031_2.RCP         63          63       63       0.0%           0.099
J3031_3.RCP         58          58       58       0.0%           0.193
J3031_4.RCP         50          50       50       0.0%           0.327
J3031_5.RCP         52          52       52       0.0%          50.063
J3031_6.RCP         53          53       53       0.0%           0.438
J3031_7.RCP         61          61       61       0.0%           1.034
J3031_8.RCP         58          58       58       0.0%           0.214
J3031_9.RCP         51          46       50       2.0%          60.054
J3032_1.RCP         61          61       61       0.0%           0.087
J3032_10.RCP        51          51       51       0.0%           0.030
J3032_2.RCP         60          60       60       0.0%           0.031
J3032_3.RCP         57          57       57       0.0%           0.028
J3032_4.RCP         68          68       68       0.0%           0.028
J3032_5.RCP         54          54       54       0.0%           0.030
J3032_6.RCP         44          44       44       0.0%           0.028
J3032_7.RCP         35          35       35       0.0%           0.028
J3032_8.RCP         54          54       54       0.0%           0.029
J3032_9.RCP         65          65       65       0.0%           0.030
J3033_1.RCP         65          65       65       0.0%           3.705
J3033_10.RCP        53          53       53       0.0%           0.110
J3033_2.RCP         60          60       60       0.0%           6.292
J3033_3.RCP         55          55       55       0.0%          23.088
J3033_4.RCP         77          77       77       0.0%           5.384
J3033_5.RCP         53          53       53       0.0%           6.099
J3033_6.RCP         59          59       59       0.0%           0.426
J3033_7.RCP         58          58       58       0.0%           0.074
J3033_8.RCP         61          61       61       0.0%          11.028
J3033_9.RCP         65          65       65       0.0%          19.228
J3034_1.RCP         68          68       68       0.0%           5.166
J3034_10.RCP        47          47       47       0.0%           0.138
J3034_2.RCP         44          44       44       0.0%           0.350
J3034_3.RCP         69          69       69       0.0%           0.643
J3034_4.RCP         67          67       67       0.0%           0.028
J3034_5.RCP         63          63       63       0.0%           2.985
J3034_6.RCP         52          52       52       0.0%           1.643
J3034_7.RCP         58          58       58       0.0%           8.032
J3034_8.RCP         58          58       58       0.0%           3.116
J3034_9.RCP         60          60       60       0.0%           0.030
J3035_1.RCP         57          57       57       0.0%           0.030
J3035_10.RCP        59          59       59       0.0%           1.481
J3035_2.RCP         53          53       53       0.0%           0.052
J3035_3.RCP         60          60       60       0.0%           0.188
J3035_4.RCP         50          50       50       0.0%           2.795
J3035_5.RCP         60          60       60       0.0%           0.079
J3035_6.RCP         58          58       58       0.0%           0.321
J3035_7.RCP         61          61       61       0.0%           0.166
J3035_8.RCP         63          63       63       0.0%           0.032
J3035_9.RCP         59          59       59       0.0%           0.717
J3036_1.RCP         66          66       66       0.0%           0.030
J3036_10.RCP        59          59       59       0.0%           0.029
J3036_2.RCP         44          44       44       0.0%           0.029
J3036_3.RCP         61          61       61       0.0%           0.026
J3036_4.RCP         59          59       59       0.0%           0.027
J3036_5.RCP         64          64       64       0.0%           0.027
J3036_6.RCP         46          46       46       0.0%           0.029
J3036_7.RCP         56          56       56       0.0%           0.028
J3036_8.RCP         63          63       63       0.0%           0.028
J3036_9.RCP         59          59       59       0.0%           0.028
J3037_1.RCP         81          46       79       2.5%          60.052
J3037_10.RCP        81          60       81       0.0%          60.124
J3037_2.RCP         73          49       69       5.8%          60.110
J3037_3.RCP         85          52       81       4.9%          60.131
J3037_4.RCP         86          62       83       3.6%          60.136
J3037_5.RCP         80          80       80       0.0%          38.830
J3037_6.RCP         73          50       73       0.0%          60.107
J3037_7.RCP         95          54       92       3.3%          60.194
J3037_8.RCP         88          57       72      22.2%          60.184
J3037_9.RCP         57          46       57       0.0%          60.152
J3038_1.RCP         48          48       48       0.0%           2.164
J3038_10.RCP        60          60       60       0.0%           1.436
J3038_2.RCP         54          54       54       0.0%          23.039
J3038_3.RCP         59          59       59       0.0%          10.118
J3038_4.RCP         59          59       59       0.0%           0.986
J3038_5.RCP         71          71       71       0.0%          34.742
J3038_6.RCP         63          63       63       0.0%           0.104
J3038_7.RCP         65          65       65       0.0%          17.020
J3038_8.RCP         61          61       61       0.0%          10.940
J3038_9.RCP         63          63       63       0.0%          12.591
J3039_1.RCP         55          55       55       0.0%           0.109
J3039_10.RCP        60          60       60       0.0%           2.989
J3039_2.RCP         54          54       54       0.0%           0.032
J3039_3.RCP         54          54       54       0.0%           1.043
J3039_4.RCP         53          53       53       0.0%           0.032
J3039_5.RCP         55          55       55       0.0%           0.211
J3039_6.RCP         69          69       69       0.0%           1.307
J3039_7.RCP         56          56       56       0.0%          11.781
J3039_8.RCP         67          67       67       0.0%           0.037
J3039_9.RCP         64          64       64       0.0%           3.763
J303_1.RCP          72          72       72       0.0%           0.031
J303_10.RCP         59          59       59       0.0%          23.799
J303_2.RCP          40          39       40       0.0%          60.061
J303_3.RCP          57          57       57       0.0%           0.093
J303_4.RCP          98          98       98       0.0%           0.057
J303_5.RCP          53          46       53       0.0%          60.037
J303_6.RCP          54          54       54       0.0%           1.021
J303_7.RCP          48          48       48       0.0%           0.032
J303_8.RCP          54          54       54       0.0%           0.566
J303_9.RCP          65          60       65       0.0%          60.071
J3040_1.RCP         51          51       51       0.0%           0.114
J3040_10.RCP        51          51       51       0.0%           0.032
J3040_2.RCP         56          56       56       0.0%           0.031
J3040_3.RCP         57          57       57       0.0%           0.029
J3040_4.RCP         57          57       57       0.0%           0.030
J3040_5.RCP         65          65       65       0.0%           0.030
J3040_6.RCP         60          60       60       0.0%           0.029
J3040_7.RCP         46          46       46       0.0%           0.031
J3040_8.RCP         57          57       57       0.0%           0.031
J3040_9.RCP         64          64       64       0.0%           0.031
J3041_1.RCP         88          50       86       2.3%          60.063
J3041_10.RCP       106          59       99       7.1%          60.158
J3041_2.RCP         90          49       89       1.1%          60.145
J3041_3.RCP         85          59       85       0.0%          60.230
J3041_4.RCP         88          47       78      12.8%          60.333
J3041_5.RCP        100          63       99       1.0%          60.146
J3041_6.RCP        108          65      103       4.9%          60.180
J3041_7.RCP        103          56       92      12.0%          60.303
J3041_8.RCP         95          55       88       8.0%          60.177
J3041_9.RCP        101          69       92       9.8%          60.143
J3042_1.RCP         58          58       58       0.0%           0.316
J3042_10.RCP        75          75       75       0.0%           0.086
J3042_2.RCP         51          47       50       2.0%          60.068
J3042_3.RCP         60          60       60       0.0%          55.288
J3042_4.RCP         50          42       49       2.0%          60.142
J3042_5.RCP         52          52       52       0.0%           0.124
J3042_6.RCP         66          66       66       0.0%           8.157
J3042_7.RCP         66          65       66       0.0%          60.070
J3042_8.RCP         82          67       82       0.0%          60.250
J3042_9.RCP         61          59       60       1.7%          60.156
J3043_1.RCP         56          53       55       1.8%          60.245
J3043_10.RCP        60          60       60       0.0%           2.213
J3043_2.RCP         43          43       43       0.0%           0.661
J3043_3.RCP         57          57       57       0.0%           9.624
J3043_4.RCP         67          67       67       0.0%           0.204
J3043_5.RCP         64          62       64       0.0%          60.067
J3043_6.RCP         58          58       58       0.0%           9.598
J3043_7.RCP         52          52       52       0.0%           3.472
J3043_8.RCP         62          62       62       0.0%           2.961
J3043_9.RCP         57          57       57       0.0%           3.382
J3044_1.RCP         50          50       50       0.0%           0.033
J3044_10.RCP        63          63       63       0.0%           0.029
J3044_2.RCP         54          54       54       0.0%           0.029
J3044_3.RCP         51          51       51       0.0%           0.030
J3044_4.RCP         57          57       57       0.0%           0.028
J3044_5.RCP         55          55       55       0.0%           0.030
J3044_6.RCP         56          56       56       0.0%           0.029
J3044_7.RCP         42          42       42       0.0%           0.030
J3044_8.RCP         49          49       49       0.0%           0.029
J3044_9.RCP         64          64       64       0.0%           0.027
J3045_1.RCP         87          53       82       6.1%          60.067
J3045_10.RCP       100          58       90      11.1%          60.170
J3045_2.RCP        133          63      125       6.4%          60.148
J3045_3.RCP        108          57       92      17.4%          60.140
J3045_4.RCP         87          59       84       3.6%          60.147
J3045_5.RCP         88          58       86       2.3%          60.187
J3045_6.RCP        136          70      129       5.4%          60.166
J3045_7.RCP        107          72      101       5.9%          60.156
J3045_8.RCP         94          65       94       0.0%          60.181
J3045_9.RCP         87          50       82       6.1%          60.149
J3046_1.RCP         59          58       59       0.0%          60.274
J3046_10.RCP        57          46       55       3.6%          60.282
J3046_2.RCP         67          64       67       0.0%          60.234
J3046_3.RCP         66          64       65       1.5%          60.302
J3046_4.RCP         64          64       64       0.0%          50.399
J3046_5.RCP         57          57       57       0.0%          40.529
J3046_6.RCP         60          56       59       1.7%          60.149
J3046_7.RCP         62          47       59       5.1%          60.166
J3046_8.RCP         58          58       58       0.0%          53.415
J3046_9.RCP         49          45       49       0.0%          60.165
J3047_1.RCP         58          58       58       0.0%           0.196
J3047_10.RCP        60          57       60       0.0%          60.083
J3047_2.RCP         59          59       59       0.0%           0.162
J3047_3.RCP         55          55       55       0.0%           0.228
J3047_4.RCP         49          49       49       0.0%           7.352
J3047_5.RCP         47          47       47       0.0%          14.515
J3047_6.RCP         53          50       53       0.0%          60.102
J3047_7.RCP         66          60       66       0.0%          60.155
J3047_8.RCP         48          48       48       0.0%           0.202
J3047_9.RCP         65          65       65       0.0%           0.039
J3048_1.RCP         63          63       63       0.0%           0.031
J3048_10.RCP        54          54       54       0.0%           0.031
J3048_2.RCP         54          54       54       0.0%           0.028
J3048_3.RCP         50          50       50       0.0%           0.030
J3048_4.RCP         57          57       57       0.0%           0.030
J3048_5.RCP         58          58       58       0.0%           0.031
J3048_6.RCP         58          58       58       0.0%           0.030
J3048_7.RCP         55          55       55       0.0%           0.027
J3048_8.RCP         44          44       44       0.0%           0.030
J3048_9.RCP         59          59       59       0.0%           0.029
J304_1.RCP          49          49       49       0.0%           0.026
J304_10.RCP         48          48       48       0.0%           0.026
J304_2.RCP          60          60       60       0.0%           0.029
J304_3.RCP          47          47       47       0.0%           0.029
J304_4.RCP          57          57       57       0.0%           0.027
J304_5.RCP          59          59       59       0.0%           0.029
J304_6.RCP          45          45       45       0.0%           0.028
J304_7.RCP          56          56       56       0.0%           0.030
J304_8.RCP          55          55       55       0.0%           0.024
J304_9.RCP          38          38       38       0.0%           0.032
J305_1.RCP          58          41       53       9.4%          60.060
J305_10.RCP         79          56       70      12.9%          60.120
J305_2.RCP          83          56       82       1.2%          60.124
J305_3.RCP          92          54       76      21.1%          60.127
J305_4.RCP          74          43       63      17.5%          60.136
J305_5.RCP          84          58       76      10.5%          60.232
