
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J3021_6.RCP         84          53       76      10.5%          60.043
J3021_7.RCP         76          53       65      16.9%          60.059
J3021_8.RCP         65          48       62       4.8%          60.107
J3021_9.RCP         75          43       69       8.7%          60.063
J3022_1.RCP         42          42       42       0.0%          28.036
J3022_10.RCP        57          52       55       3.6%          60.037
J3022_2.RCP         45          45       45       0.0%          12.112
J3022_3.RCP         63          63       63       0.0%          47.603
J3022_4.RCP         42          40       42       0.0%          60.066
J3022_5.RCP         54          46       52       3.8%          60.075
J3022_6.RCP         59          45       52      13.5%          60.128
J3022_7.RCP         61          55       60       1.7%          60.189
J3022_8.RCP         58          50       55       5.5%          60.122
J3022_9.RCP         76          76       76       0.0%           0.286
J3023_1.RCP         63          63       63       0.0%           0.050
J3023_10.RCP        61          61       61       0.0%           0.047
J3023_2.RCP         53          53       53       0.0%           0.064
J3023_3.RCP         46          46       46       0.0%           0.164
J3023_4.RCP         65          65       65       0.0%          10.195
J3023_5.RCP         52          52       52       0.0%          14.993
J3023_6.RCP         48          48       48       0.0%          48.011
J3023_7.RCP         60          60       60       0.0%          20.425
J3023_8.RCP         48          48       48       0.0%           0.061
J3023_9.RCP         63          63       63       0.0%          13.511
J3024_1.RCP         53          53       53       0.0%           0.043
J3024_10.RCP        53          53       53       0.0%           0.034
J3024_2.RCP         58          58       58       0.0%           0.031
J3024_3.RCP         69          69       69       0.0%           0.039
J3024_4.RCP         53          53       53       0.0%           0.042
J3024_5.RCP         51          51       51       0.0%           0.034
J3024_6.RCP         56          56       56       0.0%           0.041
J3024_7.RCP         44          44       44       0.0%           0.034
J3024_8.RCP         38          38       38       0.0%           0.036
J3024_9.RCP         43          43       43       0.0%           0.036
J3025_1.RCP        103          63       93      10.8%          60.067
J3025_10.RCP        64          47       58      10.3%          60.206
J3025_2.RCP         80          43       75       6.7%          60.189
J3025_3.RCP         94          44       76      23.7%          60.111
J3025_4.RCP         96          48       81      18.5%          60.242
J3025_5.RCP         81          45       72      12.5%          60.082
J3025_6.RCP         66          41       58      13.8%          60.194
J3025_7.RCP        100          59       95       5.3%          60.210
J3025_8.RCP         78          38       69      13.0%          60.181
J3025_9.RCP         88          50       84       4.8%          60.229
J3026_1.RCP         61          59       59       3.4%          60.149
