
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
J3020_4.RCP         43          43       43       0.0%         32           0.175
J3020_5.RCP         61          61       61       0.0%         32           0.137
J3020_6.RCP         51          51       51       0.0%         32           0.143
J3020_7.RCP         42          42       42       0.0%         32           0.150
J3020_8.RCP         51          51       51       0.0%         32           0.143
J3020_9.RCP         41          41       41       0.0%         32           0.135
J3021_1.RCP         94          60       84      11.9%      14684          60.035
J3021_10.RCP        76          54       69      10.1%      14196          60.077
J3021_2.RCP         64          42       59       8.5%      14378          60.118
J3021_3.RCP         86          60       76      13.2%      15071          60.095
J3021_4.RCP         74          52       70       5.7%      14617          60.075
J3021_5.RCP         60          43       55       9.1%      13444          60.098
J3021_6.RCP         85          53       76      11.8%      14078          60.100
J3021_7.RCP         76          53       65      16.9%      14916          60.084
J3021_8.RCP         70          48       62      12.9%      14118          60.064
J3021_9.RCP         69          43       69       0.0%      13996          60.075
J3022_1.RCP         42          42       42       0.0%      10836          45.709
J3022_10.RCP        55          52       55       0.0%      14252          60.065
J3022_2.RCP         45          45       45       0.0%       5582          22.398
J3022_3.RCP         63          61       63       0.0%      14471          60.042
J3022_4.RCP         42          40       42       0.0%      14108          60.096
J3022_5.RCP         52          46       52       0.0%      13394          60.104
J3022_6.RCP         52          45       52       0.0%      14231          60.075
J3022_7.RCP         60          55       60       0.0%      14554          60.117
J3022_8.RCP         57          50       55       3.6%      14606          60.098
J3022_9.RCP         76          76       76       0.0%        290           1.156
J3023_1.RCP         63          63       63       0.0%         32           0.128
J3023_10.RCP        61          61       61       0.0%        154           0.586
J3023_2.RCP         53          53       53       0.0%         32           0.122
J3023_3.RCP         46          46       46       0.0%       6520          29.770
J3023_4.RCP         65          65       65       0.0%       7386          34.450
J3023_5.RCP         52          52       52       0.0%      10083          49.520
J3023_6.RCP         50          47       48       4.2%      12745          60.066
J3023_7.RCP         60          60       60       0.0%       5848          27.597
J3023_8.RCP         48          48       48       0.0%         45           0.235
J3023_9.RCP         63          63       63       0.0%       9362          38.211
J3024_1.RCP         53          53       53       0.0%         32           0.160
J3024_10.RCP        53          53       53       0.0%         32           0.131
J3024_2.RCP         58          58       58       0.0%         32           0.127
J3024_3.RCP         69          69       69       0.0%         32           0.128
J3024_4.RCP         53          53       53       0.0%         32           0.130
J3024_5.RCP         51          51       51       0.0%         32           0.131
J3024_6.RCP         56          56       56       0.0%         32           0.137
J3024_7.RCP         44          44       44       0.0%         32           0.130
J3024_8.RCP         38          38       38       0.0%         32           0.142
J3024_9.RCP         43          43       43       0.0%         32           0.132
J3025_1.RCP         99          63       93       6.5%      15597          60.053
J3025_10.RCP        65          47       58      12.1%      14061          60.068
J3025_2.RCP         85          43       75      13.3%      13725          60.093
J3025_3.RCP         86          44       76      13.2%      13915          60.061
J3025_4.RCP         92          48       81      13.6%      13764          60.090
J3025_5.RCP         77          45       72       6.9%      14678          60.064
J3025_6.RCP         69          41       58      19.0%      14162          60.096
J3025_7.RCP        103          59       95       8.4%      15437          60.088
J3025_8.RCP         81          38       69      17.4%      14007          60.081
J3025_9.RCP        107          50       84      27.4%      15362          60.080
J3026_1.RCP         61          59       59       3.4%      14595          60.069
J3026_10.RCP        49          47       49       0.0%      12552          60.124
J3026_2.RCP         40          40       40       0.0%         32           0.195
J3026_3.RCP         58          58       58       0.0%       1045           4.535
J3026_4.RCP         62          62       62       0.0%        431           1.776
J3026_5.RCP         74          64       74       0.0%      15071          60.027
J3026_6.RCP         54          49       53       1.9%      14186          60.076
J3026_7.RCP         56          56       56       0.0%       4998          23.884
J3026_8.RCP         66          63       66       0.0%      13443          60.069
J3026_9.RCP         45          41       43       4.7%      14096          60.087
J3027_1.RCP         43          43       43       0.0%         32           0.194
