
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J3046_3.RCP         65          64       65       0.0%         304.965
J3046_6.RCP         59          56       59       0.0%         305.354
J3046_7.RCP         64          47       59       8.5%         305.005
J3046_8.RCP         58          58       58       0.0%          32.560
J3046_9.RCP         49          49       49       0.0%         158.168
J3047_6.RCP         53          50       53       0.0%         318.440
J305_1.RCP          55          41       53       3.8%         305.360
J305_10.RCP         70          56       70       0.0%         305.158
J305_2.RCP          82          56       82       0.0%         304.583
J305_3.RCP          85          54       76      11.8%         304.281
J305_4.RCP          72          43       63      14.3%         304.584
J305_5.RCP          78          58       76       2.6%         305.092
J305_6.RCP          67          47       64       4.7%         304.452
J305_7.RCP          83          43       76       9.2%         307.355
J305_8.RCP          70          53       67       4.5%         304.572
J305_9.RCP          50          38       49       2.0%         304.904
J306_1.RCP          59          59       59       0.0%         209.615
J306_10.RCP         61          61       61       0.0%         248.550
J306_2.RCP          53          50       51       3.9%         304.389
J306_5.RCP          67          67       67       0.0%         160.868
J306_6.RCP          37          37       37       0.0%          62.018
J306_7.RCP          46          46       46       0.0%         265.479
J306_8.RCP          39          39       39       0.0%         173.682
J309_1.RCP          97          55       83      16.9%         311.997
J309_10.RCP         99          63       88      12.5%         311.222
J309_2.RCP          97          45       92       5.4%         304.749
J309_3.RCP          95          48       68      39.7%         312.657
J309_4.RCP          75          52       71       5.6%         305.212
J309_6.RCP          62          47       59       5.1%         304.906
J309_7.RCP          68          41       63       7.9%         305.868
J309_8.RCP         101          54       91      11.0%         305.361
J309_9.RCP          67          37       63       6.3%         305.257

Average Summary
Instance  Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
------------------------------------------------------------------
Average     70.614      51.899   67.424     4.055%         260.559

Comparison Summary
Instances total: 158
Solved: 69/158 (43.7%)
Mean gap to optimal: 4.06%
Note: branching order used = lower_bound
Note: branching scheme used = serial
Note: search strategy used = ubs

Note: lower bound used = lb_cp
Note: dominance used = serial
Note: optimal baseline JSON used = data/baseline/j30_opt.json
